特征一实部,特征一虚部,特征二,特征三,特征四四部,特征四虚部
-1332,20179,846,4,-6596,1067
16274,21437,845,10,13931,19855
9021,-3716,737,10,531,18969
27634,-366,707,9,15107,-12810
9788,21216,746,14,9043,20304
28210,12085,736,0,-8343,2188
1782,19024,743,12,1782,19024
12545,-13327,712,14,12545,-13327
13485,2142,718,10,3499,16133
27180,1677,741,1,-4429,17923
-4345,15657,724,7,781,22293
12768,25680,847,9,-6810,1947
21719,20040,844,1,21838,20096
12110,18602,832,3,12110,18602
7479,22886,844,6,-1079,10599
22730,20922,849,15,19886,20621
2590,15017,739,7,3902,18335
15639,22625,740,12,15639,22625
-7676,-5670,733,14,-7676,-5670
18225,23386,833,15,13356,137
28188,1600,732,4,-10547,2898
18888,24281,831,13,-5000,-2303
16229,-5604,731,6,-2399,17198
28460,1111,742,8,-10893,2911
21224,19691,833,2,21733,20045
14249,25759,840,11,-7986,4433
21268,2213,710,9,10944,-426
6448,-5139,731,5,-4002,9183
24083,-1275,718,4,-5939,10372
-7956,-7082,703,13,19998,-10758
-2092,18733,836,4,-5083,28
-3032,8189,703,13,8534,-3894
20511,22709,843,13,7851,18532
13417,18807,704,11,13543,19782
10046,15619,726,4,12222,21578
-11162,7100,706,13,7850,-12737
-5789,4980,832,8,2520,-9003
-9968,12501,708,13,2052,-11079
-179,-7074,833,3,-179,-7074
4322,22156,843,10,-2753,6522
28757,5576,746,1,-8345,9051
10762,18082,829,3,10762,18082
14252,-2463,843,0,6045,20545
19761,5081,704,1,3994,15700
28268,10138,703,1,3432,-12450
9546,5853,720,10,6057,18755
15391,24028,832,12,3184,4596
338,8985,746,12,338,8985
16753,2295,711,4,2733,14262
18219,18546,740,5,18085,18867
1203,15305,840,4,2123,1254
14246,22096,722,11,14971,22570
2544,17725,737,12,2544,17725
14972,25270,835,12,-1218,-4466
25601,10531,704,3,12631,102
9362,4142,846,2,8396,19056
15598,22122,743,5,16115,22429
9614,23207,831,10,3067,17573
20619,20654,830,4,20219,20483
28514,4834,735,3,-7677,2018
10324,19045,707,10,12612,22312
3069,24838,841,6,-9449,2533
-6313,10490,730,12,-5192,15714
27129,12160,710,2,609,-2933
9689,13931,725,11,9398,17111
4428,16666,729,12,5112,18534
27087,6731,826,0,15236,-313
17885,22570,841,7,10650,18297
19254,23733,832,15,536,5432
28312,9300,747,0,-1651,19637
10738,22084,832,7,13635,49
28027,2691,707,10,-1957,-9383
15339,-13255,732,7,-6315,-7455
-1299,11458,746,11,649,17768
5391,-3937,735,5,-2466,5448
19097,-7216,741,4,-4429,17923
27842,11740,742,0,-3585,5626
-5444,13639,735,12,-5444,13639
15407,24387,828,11,2422,16633
11409,-5163,828,2,1105,17745
13239,20902,748,5,14088,21750
27505,6914,706,8,4706,-7594
14942,22816,845,7,7271,7733
-5378,13242,841,8,-4502,-2527
